id,text,sentiment
1101,CompaniesGlencore's annual results beat forecasts,4
915,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,3
553,IAG closes in on Aer Lingus with increased offer,3
458,US judge rules that BP spill smaller than feared,2
66,TalkTalk hires BAE Systems to investigate cyber attack,3
792,Glencore shares enjoy bounce-back after Hong Kong-led surge,3
820,Philip Morris  BAT Sue Over Law Taking Branding Off Packs,2
467,Shire CEO steps up drive to get Baxalta board talking,2
721,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,3
286,Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀,2
328,BP ends 27-year sponsorship of Tate as falling oil price takes toll,1
384,Intercontinental Exchange Opts Not to Bid for London Stock Exchange,2
135,HSBC marks muted 150th birthday party with grain of rice sculptures,2
13,Smith & Nephew recalls hip-replacement components,1
449,GLOBAL MARKETS-Stocks gain on Royal Dutch Shell bid  oil slumps,3
935,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,2
1062,Profits Fall 25% At Standard Chartered PLC: Should You Buy Or Sell?,0
716,CompaniesPound to boost ABF for now  but mixed impact ahead,3
42,Reaching New Depths: Glencore's $5bn Loss,0
703,Standard Life impresses as fee-based products offset annuities slump,3
357,Persimmon share price climbs on 23% rise in full-year revenue,4
1080,British American Tobacco accused of bribing senior politicians to sabotage ...,0
945,Glencore blames rivals for creating metals glut,1
1114,Berkshire Bought Apple Stake at $99.49 a Share  Filing Shows,2
1085,5 Years After BP Spill: What's Changed in Offshore Drilling,1
1095,Sainsbury's  Asda  Tesco and Morrisons will all cut petrol prices as oil falls ...,1
489,London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,3
213,AstraZeneca wins FDA approval for key new lung cancer pill,3
42,Reaching New Depths: Glencore's $5bn Loss,0
547,Barclays Executive Harrison Denies Knowledge of Libor Fixing,1
924,Breakingviews: IAG can pay more for Aer Lingus,3
359,Travis Perkins to create 4000 jobs,3
863,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,1
787,Barclays fined for anti-money-laundering failings,0
93,Unilever Continues to Battle Soft Demand,1
722,Payout from BP oil spill settlement tops $5 billion,0
125,UPDATE 3-BP settles oil spill-related claims with Halliburton  Transocean,2
1103,Pfizer to cut 120 jobs with closure of Cambridge R&D centre,1
271,Tesco says recovery on track  asks investors to be patient,2
393,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,1
28,BP wins right to appeal some Gulf spill damages claims,3
122,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,1
857,Barclays Said to Shrink Bonus Pool to Less Than 2 Billion Pounds,3
1012,Diageo Shares Surge on Report of Possible Takeover by Lemann,3
632,Tesco to pay $12 million to settle US lawsuit,1
474,Broker tips: RBS  Croda  Sage,3
984,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
3,EasyJet attracts more passengers in June but still lags Ryanair,3
515,CommentOpening Quote: pay day moans; profits slump for Lloyds; Mars mission,1
1110,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,3
529,Buffett's Berkshire builds Deere stake  dumps Exxon,3
477,Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,1
669,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,3
253,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,1
810,CompaniesActelion shares hit record on Shire takeover talk,3
423,PRESS: Serco Set To Appoint Roy Gardner  Ex-Centrica  As Chairman - FT,2
885,Primark racks up a happy Christmas after strong sales,4
1054,BHP  Residents Brace as Cyclone Stan Nears Australian Coast,2
918,Britain's FTSE steadies below record high  BHP gains,3
252,Spain's Caixabank launches new takeover bid for Banco BPI,2
899,CompaniesCoutts raids JPMorgan Chase for new CEO,2
50,New Morrisons duo get former boss's support to diffuse investor tension,2
236,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
562,Compass Group says positive for year ahead,4
1009,AstraZeneca cancer drug may not be so fast getting to market,1
739,CompaniesCoutts raids JPMorgan Chase for new CEO,2
43,UPDATE 2-EasyJet sees better first half on lower fuel bill,4
903,AstraZeneca's Good Deal Turns Bad,1
649,CEO of Berkshire's Gen Re to retire; Jain's role grows,2
610,Associated British Foods Profit Hit by Strong Sterling  Tough Sugar Business,1
1082,AstraZeneca to cut costs but stays silent on M&A talk,2
244,UPDATE 3-BP settles oil spill-related claims with Halliburton  Transocean,2
989,UPDATE 1-Nomura  RBS must pay $806 mln in mortgage bond case-US judge,0
741,Tesco share price down as grocer faces SFO investigation outcome,1
262,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,1
1100,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,3
575,CRH's concrete bid for Holcim Lafarge assets,2
455,Shell to buy BG Group in $69.7 billion takeover,3
165,Shell  Chevron Await LNG's Return From `Pause Mode',2
656,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,4
796,Diageo receives reports from United Spirits on financial irregularities involving ...,1
533,Industry NewsG4S makes 'positive' start to year  no new impairments,3
306,Persimmon sees post-election pick-up,3
376,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
1109,AB InBev to Sell SABMiller Stake in China's Snow Beer,2
498,CompaniesKingfisher bid for Mr Bricolage runs into trouble,1
160,UPDATE 2-Exchanges  Barclays win dismissal of US high-frequency trading case,3
277,CompaniesEx-City watchdog Turner joins Prudential board,2
90,AstraZeneca suffers setback after drug fails to treat eye cancer,1
713,Royal Mail chairman Donald Brydon set to step down,1
712,Insight - Britain's bank tax jump threatens to push HSBC  StanChart to new home,2
863,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,1
909,Berkshire Hathaway's 4Q profit declines 17 percent,0
1015,Centrica suffers protest from shareholders over pay,1
1129,Oil majors like Royal Dutch Shell  Chevron  BP fail to find reserves to counter ...,1
330,Horizonte acquires neighbouring Glencore nickel property in Brazil,3
942,FTSE ends higher; 3i Group leads after strong earnings,3
359,Travis Perkins to create 4000 jobs,3
153,Intercontinental Hotels  Starwood held early deal talks - FT,2
603,US dollar wipes out sales gains for SABMiller,1
276,Prudential capital ratio beats forecasts  confirms UK head,3
818,Glencore Sells Shares to Raise $2.5 Billion and Reduce Debt,3
230,AstraZeneca investment eats into profit,2
444,Buffett talks wind energy  Coca-Cola at Berkshire meeting,2
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
1048,Valeant Said to Name New CEO With Pearson Still Hospitalized,2
523,FTSE edges up as investors cheer Kingfisher results,4
372,US urges final approval of $20 billion BP oil spill pact,1
960,Relief for Lewis as Tesco sees sales grow for first time in a year,3
842,Investor Woodford calls for outsider to head GlaxoSmithKline,2
283,CompaniesDiageo stays neutral on India boardroom turmoil,2
306,Persimmon sees post-election pick-up,3
783,Retailers Kingfisher and Sports Direct rise in Britain's share index,3
450,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,2
160,UPDATE 2-Exchanges  Barclays win dismissal of US high-frequency trading case,3
92,Retail giant Kingfisher reports 'solid' start to the year,3
1140,CompaniesTravis Perkins lifts dividend  earnings rise 15%,3
550,CompaniesAB InBev signals it won't go hostile for SABMiller,2
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
147,FDA panel backs safety updates for AstraZeneca  Takeda drugs,2
688,UPDATE 1-Pearson expects to grow this year after solid end to 2014,3
360,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
983,Dyson Wants to Create a Hair Dryer Revolution,3
115,Aberdeen's shares slide as net outflows accelerate,1
499,EasyJet to pass on lower fuel prices to customers,2
1123,US STOCKS-Wall St rises on Berkshire deal  China stimulus hopes,3
398,Rio Tinto Reaffirms Goal for Iron Ore Output,3
15,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
274,National Grid profit up 15%; gas sale on track,3
334,Water utility Severn Trent ups savings forecast  FY profit falls,2
425,AB InBev offers to sell some SABMiller brands,3
1112,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,2
658,Shell challenges Exxon dominance with 47 billion-pound bid for BG,3
418,NYSE owner ICE considers offer for LSE,3
691,Admiral and Schroders lift FTSE with profits surge,4
932,Shell to Go Ahead With Petrochemical Plant in Pennsylvania,3
192,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,3
938,Standard Life stands tall amid pension reform,3
666,BHP's iron ore outlook holds little cheer for small miners,1
982,Should You Buy Jumbo Yielders British American Tobacco plc  Centrica PLC & John Wood Group PLC?,2
856,IHG agrees $938 sale of InterContinental Hong Kong,3
395,Questor share tip: Mondi shares jump 10pc on strong start,4
946,U.K. Shares Extend Rebound for Second Day as EasyJet Surges,3
618,Cuadrilla files to delay application to frack in Lancashire,1
825,Royal Mail needs to deliver on modernisation plans  post haste,2
59,Johnson Matthey revs up on clean air drive,3
545,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,1
518,Royal Mail and workers' union agree pay deal,3
380,News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore  BP in ...,3
565,Unilever head's resignation sparks spinoff talk,2
653,Brewer AB InBev seeks $275 bln tie-up with SABMiller,3
821,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,3
696,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,3
1081,BT finance director Tony Chanmugam to step down,2
887,FDA approves NPS drug  in move validating Shire takeover deal,3
965,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,3
732,Fears Primark growth is starting to falter,1
787,Barclays fined for anti-money-laundering failings,0
82,CEOs of BPM  UBI meet Italy econ minister as M&A talk heats up,2
384,Intercontinental Exchange Opts Not to Bid for London Stock Exchange,2
435,Eurocrat left best-placed to unravel London Stock Exchange deal,1
562,Compass Group says positive for year ahead,4
12,Diageo sales disappoint as currency and comparatives leave bitter taste,1
995,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,3
346,CFTC fines Barclays $560000 for inaccurate swaps position reports,0
158,Anheuser-Busch InBev Increases Offer for Rival SABMiller,2
814,Standard Chartered Misses Estimates in Sands's Last Results,1
800,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,3
863,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,1
236,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
988,BP's head of exploration Richard Herbert departs,2
747,Diageo  Heineken Exchange Emerging-Market Brewing Assets,2
40,Brazil Vale says will appeal ruling to block assets for dam burst,2
589,CompaniesUK government lines up Â£2bn Lloyds retail share sale,1
958,Sharm el Sheikh: EasyJet axes all flights to Egypt's leading holiday resort,1
735,MOVES-Ex-shadow minister McClymont joins Aberdeen Asset Management,2
89,StanChart may see white knight takeover on painful recovery - CLSA,2
1093,Barclays  Deutsche Bank Fight to Lift Profit Just Got Harder,1
705,Intertek Group announces strategic update outlining its plan,2
780,Weir leads FTSE lower after oil price profits warning,1
1053,New BG Group CEO Helge Lund Starts Earlier Than Expected,2
665,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,3
899,CompaniesCoutts raids JPMorgan Chase for new CEO,2
997,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,0
1006,Aldi and Lidl expansion plans speed ahead as Tesco  Sainsbury's  Morrisons ...,3
1035,Direct Line rings up higher profit,3
134,Goldman Sachs  Barclays  HSBC downplay Brexit threat,2
893,Glencore Agrees to Sell Minority Stake in Agriculture Business,3
708,AstraZeneca sells Caprelsa rights to Sanofi unit,3
495,Shell Plans to Shed 2800 Jobs After Buying BG Group,1
419,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,3
170,Verizon and AT&T accused of hurting rivals,1
1004,Sainsbury's pressed to raise bid for Home Retail Group,3
581,British American Tobacco first-half sales hurt by currency moves,1
570,DBS  Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...,3
1135,UPDATE: CIB  Legal & General Sell Egyptian Life Joint Venture To AXA,2
1033,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,3
1050,Barclays appoints JPMorgan's Paul Compton as new COO,2
1101,CompaniesGlencore's annual results beat forecasts,4
133,GSK joins China trade push as UK trumpets healthcare deals,3
954,InterContinental Hotels Denies Reports of Starwood Merger Talks,2
370,Persimmon revenues lifted 12% by post-election confidence,3
220,Arm buoyed by race to build the internet of things,3
991,CompaniesRoyal Mail swerves new pricing regulations,2
979,Big account wins keep ad group WPP at front of pack,3
246,Morrisons faces festive sales test,2
993,Domino's Pizza worker sacked after crude slur aimed at customer on order screen,1
376,LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,1
1054,BHP  Residents Brace as Cyclone Stan Nears Australian Coast,2
231,AstraZeneca bags another cancer drug deal  this time with Inovio,3
490,We'd support HSBC leaving London  says Standard Life,2
777,Glencore 2014 profit in line  takes $1.1 billion charge on commodity prices,2
734,Royal Bank of Scotland becomes Facebook customer,3
7,Barclays share price subdued as bank faces fresh forex probe,1
957,SSE to Shut Coal-Fired Plant Amid Shift to Gas  Renewable Energy,2
1134,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),3
400,Shire share price: Group releases full-year results,3
120,France raises concerns over proposed LSE-Deutsche Boerse deal,1
912,Shell's profits hit by further slide in oil prices,0
951,Exclusive - Britain targets sale of half its RBS stake in two years: sources,1
1000,Diageo receives reports from United Spirits on financial irregularities involving ...,1
637,Aberdeen to raise 100 mln stg to seed new funds,3
953,Saudi Aramco  Shell plan to break up Motiva  divide up assets,3
33,UPDATE 1-Shire takes Q2 earnings pain for long-term gain,2
700,Can Christmas Save Sainsbury's plc And Tesco plc?,2
26,Novo Nordisk and AstraZeneca seek tonic from key drug trials,2
912,Shell's profits hit by further slide in oil prices,0
405,Buffett's Berkshire delivers 9.8% profit growth,4
607,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,0
1132,Berkshire applies to boost Wells Fargo stake above 10 percent,3
852,What It Takes for Royal Dutch Shell to Break Even,2
734,Royal Bank of Scotland becomes Facebook customer,3
949,CompaniesNew Aggreko CEO to reshape business  strip costs,2
720,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,3
241,Aberdeen AM posts H1 outflows  says conditions to remain challenging,1
1065,Whitbread Profit Up As Sales Continue To Rise  Looking For New CEO,3
205,CompaniesCompass serves up half year profit rise,3
779,Lloyds returns Â£13bn to UK taxpayer,2
592,Standard Chartered Will Close Equity Sales and Research Business,1
754,GSK hopes big clinical trial can breath new life into lung drug,2
565,Unilever head's resignation sparks spinoff talk,2
777,Glencore 2014 profit in line  takes $1.1 billion charge on commodity prices,2
73,Clinigen chosen by AstraZeneca to manage access programme for next ...,3
80,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
1037,AstraZeneca sells rights to anaesthetics to South Africa's Aspen,3
269,Shell  Chevron Await LNG's Return From `Pause Mode',2
189,BP asks for lower fine in penalty phase of Gulf spill trial,2
721,BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,3
527,HSBC appoints business leaders to board,2
282,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,2
626,Hammerson  JV Partner secure ownership of Ireland's Dundrum - Quick Facts,3
280,CompaniesAstraZeneca wins nod for 'blockbuster' hopeful,3
322,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,3
569,Whitbread to hike prices to offset 'substantial' national living wage bill,2
983,Dyson Wants to Create a Hair Dryer Revolution,3
267,SSE faces profiteering accusations despite 5.3% cut in gas charges,1
578,Shell share price: Standard Life announce position against BG acquisition,2
760,Aviva plans to up pay-out ratio  says too soon to judge Brexit impact,2
575,CRH's concrete bid for Holcim Lafarge assets,2
1081,BT finance director Tony Chanmugam to step down,2
432,Glencore Cuts 2015 Budget  Plans To Divest From Lonmin,1
123,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,2
269,Shell  Chevron Await LNG's Return From `Pause Mode',2
950,Verizon and AT&T accused of hurting rivals,1
73,Clinigen chosen by AstraZeneca to manage access programme for next ...,3
81,Barclays to speed up cost-cuts after new mis-selling hit,1
688,UPDATE 1-Pearson expects to grow this year after solid end to 2014,3
1099,Shire share price under pressure after $32bn Baxalta deal,2
197,Should You Follow Berkshire Hathaway Into Apple Stock?,2
591,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,4
61,Is It Worth Investing In Tesco PLC And Prudential plc Now?,2
902,Stars aligned' for AB InBev's megabrew merger plan,3
448,Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions,2
651,WPP boosts sales despite cautious clients,3
332,FDA approves AstraZeneca drug for advanced lung cancer,3
997,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,0
865,Oilfield services firm Petrofac's debt shoots up 50 per cent,0
750,Intertek profit up 16.1%; expects to meet forecast,4
1117,Copper Prices up on Glencore Cuts to Zinc Supply,3
861,Norway's sovereign wealth fund says backed Shell CEO's pay,2
848,Hargreaves weathers torrid ISA season and Brexit fears,1
126,Shares in BAE Systems hit 10-month high on rating upgrade,4
99,Standard Life slips as Greek worries peg back Britain's FTSE,1
358,Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
984,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,3
160,UPDATE 2-Exchanges  Barclays win dismissal of US high-frequency trading case,3
383,UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label  Good AZD9291 ...,3
563,Pearson expects to return to growth this year,3
18,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
663,Lloyds sells Irish loan portfolio for Â£827m,2
22,L&G still paying price for dividend cut during crisis  chief says,1
486,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,3
760,Aviva plans to up pay-out ratio  says too soon to judge Brexit impact,2
154,Warren Buffett's Berkshire Hathaway buys stake in Apple,3
889,Sainsbury's and Glencore give FTSE a three-digit lift - London Report,4
698,MarketsMoneysupermarket slides 11% on Barclays Brexit warning,0
119,Severn Trent share price jumps as Canadian investor renews pursuit of utility,3
860,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,3
930,UPDATE 1-BHP Billiton's credit ratings fragile in FY16  agencies warn,1
335,Reed Elsevier shares cool after profit dip,1
591,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,4
446,Barclays CEO Staley Says Brexit Slump Caused by Profit Fears,1
571,CompaniesCar insurer Hastings Group driving Â£180m IPO,3
211,Falling oil prices hurt Hunting  Weir Group,1
1043,Tesco leads leap in FTSE 100; Marks & Spencer drops,3
746,CompaniesTesco sends supermarket shares to top of FTSE,3
263,PRESS: Serco Set To Appoint Roy Gardner  Ex-Centrica  As Chairman - FT,2
1098,AstraZeneca heart drug boosted by major clinical trial success,3
689,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,3
71,World's banks may halve jobs and branches within 10 years - Barclays ex-boss,1
942,FTSE ends higher; 3i Group leads after strong earnings,3
420,EU drops Shell  BP  Statoil from ethanol benchmark investigation,3
717,EU drops Shell  BP  Statoil from ethanol benchmark investigation,3
1083,Buffett's Berkshire builds Deere stake  dumps Exxon,2
279,BG Group Still Happy With Shell's $70 Billion Offer,3
516,AstraZeneca sells Caprelsa rights to Sanofi unit,3
924,Breakingviews: IAG can pay more for Aer Lingus,3
18,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts,2
916,Lloyds is cutting more than 600 jobs and shutting 21 branches,1
1111,Tesco share price closes higher as two more directors leave grocer,3
936,CompaniesPhilips transfers $900m of pension obligations,3
437,StanLife leads FTSE after strong earnings,4
356,AB InBev to Sell SABMiller Stake in China's Snow Beer,2
535,Old Mutual share price: Wealth unit seen as blue-chip company,4
826,Barclays CEO poaches risk head from JP Morgan,2
283,CompaniesDiageo stays neutral on India boardroom turmoil,2
913,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,3
704,CompaniesHome Retail trims gains but is considered 'in play',2
477,Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...,1
336,BAE Systems lines up oil exec Woodburn as next CEO -source,2
390,Britain's FTSE hits three-week low as financials  Tesco fall,0
355,UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration,1
1111,Tesco share price closes higher as two more directors leave grocer,3
741,Tesco share price down as grocer faces SFO investigation outcome,1
599,AstraZeneca bags another cancer drug deal  this time with Inovio,3
94,Fresnillo Production Surges But Profit Hit By Lower Prices,3
1127,UPDATE 1-AstraZeneca potassium drug delayed by manufacturing snag,1
441,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,3
461,ARM Royalties Accelerate as Smartphone Market Regains Strength,3
442,Tesco says UK store closures put 2000 jobs at risk,1
574,Britain's FTSE steadies  supported by Dixons Carphone,3
595,Prudential knocked after investors withdraw Â£3.9bn from M&G,0
358,Royal Mail hands chief executive Moya Greene a 13% rise in her pay package,2
481,BP joins forces with Det Norske in Norway,3
842,Investor Woodford calls for outsider to head GlaxoSmithKline,2
42,Reaching New Depths: Glencore's $5bn Loss,0
254,ARM shrugs off smartphone slowdown as newer designs win share,2
1088,UK sells more of Lloyds bank stake  12.5 billion pounds raised so far,1
35,Standard Chartered considering move from UK,2
172,Johnson Matthey profit falls but dividend rises,2
1132,Berkshire applies to boost Wells Fargo stake above 10 percent,3
1120,UK government cuts stake in Lloyds to below 11 pct,1
494,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
568,Morrisons and Debenhams surprise City with Christmas bounce back,3
649,CEO of Berkshire's Gen Re to retire; Jain's role grows,2
121,Bunzl blames weakness in United States for first-half revenue slowdown,1
463,Glencore chief blames rivals' overproduction for share price fall,1
817,BHP Billiton to lower copper production costs,3
17,Schroders posts FY profit beat  replaces CEO and chairman in board shake-up,2
15,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,1
705,Intertek Group announces strategic update outlining its plan,2
613,Barclays Names Mike Bagguley as Chief Operating Officer of Investment Bank,2
726,BHP Billiton drags FTSE lower after slashing dividend,0
271,Tesco says recovery on track  asks investors to be patient,2
716,CompaniesPound to boost ABF for now  but mixed impact ahead,3
895,Breakingviews: IAG can pay more for Aer Lingus,2
128,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,2
1134,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),3
10,Barclays  Deutsche Bank Fight to Lift Profit Just Got Harder,1
885,Primark racks up a happy Christmas after strong sales,4
424,RBS bosses ordered to go out and meet small firms,2
927,Hargreaves Lansdown says first-quarter assets hit by stock market flux,1
215,Barclays's Next CEO Should Be Investment Banker  Aberdeen Says,2
685,RBS becomes a shadow of its former self,0
220,Arm buoyed by race to build the internet of things,3
566,AstraZeneca wins US approval for longer use of blood thinner,3
1097,Shire Sees Baxalta Deal Closing as Expected After New Rules,3
1069,Tesco Mobile is offering you cash back in exchange for looking at ads,2
308,Australia clears AB Inbev's $100 billion SABMiller buyout plan,3
609,PRESS: HSBC Chairman Hints Bank May Retain UK Domicile - Tel,2
443,Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder,3
153,Intercontinental Hotels  Starwood held early deal talks - FT,2
480,Glencore raises $2.5bn through share placing to help cut debt load,2
